name,address,suburb,state,postcode,type,places,rating,qa1,qa2,qa3,qa4,qa5,qa6,qa7,start_time,end_time,latitude,longitude
Macgregor Primary School OSHC,"MacGregor Primary School, 25 Hirschfeld Cres",MACGREGOR,ACT,2615,OSHC_A;OSHC_B;OSHC_V,154,X,M,M,M,X,X,X,X,07:30,18:00,-35.21308989,149.01246681
YWCA Majura School Age Care,"Majura Primary School, 101 Knox St",WATSON,ACT,2602,OSHC_A;OSHC_B;OSHC_V,154,M,X,M,M,X,X,M,M,07:30,18:00,-35.2385852,149.1546508
Miles Franklin Out Of School Hours Care,"Evatt Miles Franklin Primary, 11 Alderman St",EVATT,ACT,2617,OSHC_A;OSHC_B;OSHC_V,120,W,W,W,M,M,M,M,W,07:30,18:00,-35.21347218,149.06658456
Communities@Work Monash Out of School Hours Care,"Monash Primary School, 45 Corlette Cres",MONASH,ACT,2904,OSHC_A;OSHC_B;OSHC_V,112,X,X,X,X,X,X,X,X,07:30,18:00,-35.41484346,149.08939408
Communities@Work Mt Rogers Out of School Hours Care,"Mt Rogers Community School, 52 Alfred Hill Dr",MELBA,ACT,2615,OSHC_A;OSHC_B;OSHC_V,90,M,M,M,M,M,M,M,M,07:30,18:00,-35.20738921,149.055331
Orana Steiner School Early Childhood Centre and Kindergarten,"Orana School, 21 Unwin St",WESTON,ACT,2611,LDC;PKP,132,M,M,M,X,M,M,M,M,07:30,17:30,-35.32773912,149.06015681
Radford College After School Care,"Radford College, 1 College St",BRUCE,ACT,2617,OSHC_A;OSHC_B;OSHC_V,200,M,M,M,X,X,M,X,M,07:15,18:00,-35.24262408,149.08671948
Radford College Early Learning Centre,"Radford College, 1 College St",BRUCE,ACT,2617,PKP,100,X,X,X,X,X,X,X,X,08:30,15:30,-35.24262408,149.08671948
Red Hill OSHC,"Red Hill Primary School, 35 Astrolabe St",RED HILL,ACT,2603,OSHC_A;OSHC_B;OSHC_V,264,M,M,M,M,X,M,M,X,07:30,18:00,-35.339609,149.13264697
St Anthony's Parish Outside of School Hours Care Wanniassa,"St Anthonys School, 161 Wheeler Cres",WANNIASSA,ACT,2903,OSHC_A;OSHC_B;OSHC_V,100,X,M,M,X,X,X,X,M,07:30,18:00,-35.39416622,149.08057042
